date_gmt,open,high,low,close,volume
2022-05-12 04:15:00+00:00,1.05245,1.05246,1.05174,1.05183,1974650005.3406
2022-05-12 04:30:00+00:00,1.05184,1.05198,1.05172,1.05172,1448560022.3542
2022-05-12 04:45:00+00:00,1.05171,1.05256,1.05171,1.05181,2212259990.6921
2022-05-12 05:00:00+00:00,1.05182,1.0521,1.05141,1.05151,3381779998.7793
2022-05-12 05:15:00+00:00,1.05151,1.05155,1.05093,1.05117,3144989997.8637
2022-05-12 05:30:00+00:00,1.05119,1.05125,1.05065,1.05101,3291850013.7327995
2022-05-12 05:45:00+00:00,1.051,1.05119,1.04998,1.05016,3978330032.3488007
2022-05-12 06:00:00+00:00,1.05017,1.05096,1.04926,1.04931,7925330017.0899
2022-05-12 06:15:00+00:00,1.04931,1.05091,1.04907,1.05055,5205750061.035099
2022-05-12 06:30:00+00:00,1.05054,1.05155,1.05046,1.05141,4845280014.0381
2022-05-12 06:45:00+00:00,1.05141,1.05146,1.05026,1.0504,3145560028.0761003
2022-05-12 07:00:00+00:00,1.05039,1.05053,1.04556,1.0463,10535110076.904402
2022-05-12 07:15:00+00:00,1.04624,1.04685,1.04433,1.04638,17737520080.5665
2022-05-12 07:30:00+00:00,1.04635,1.04717,1.04497,1.04668,9966929916.381802
2022-05-12 07:45:00+00:00,1.04667,1.04798,1.04554,1.04598,9633640045.1661
2022-05-12 08:00:00+00:00,1.04599,1.04654,1.04463,1.04579,6658200057.983399
2022-05-12 08:15:00+00:00,1.04581,1.04627,1.04522,1.04539,6532920074.462799
2022-05-12 08:30:00+00:00,1.04538,1.04556,1.04461,1.04549,5506430007.934501
2022-05-12 08:45:00+00:00,1.04549,1.04592,1.04406,1.04407,3260289978.0274005
2022-05-12 09:00:00+00:00,1.04408,1.04464,1.0423,1.04384,6301030044.5557
2022-05-12 09:15:00+00:00,1.04385,1.04433,1.04313,1.04341,5050200027.4658
2022-05-12 09:30:00+00:00,1.04342,1.04342,1.04222,1.043,4496889953.6134
2022-05-12 09:45:00+00:00,1.04301,1.04336,1.04245,1.04274,3594329978.943
2022-05-12 10:00:00+00:00,1.04275,1.04377,1.04267,1.04357,4179510009.7656
2022-05-12 10:15:00+00:00,1.04357,1.04415,1.04335,1.04407,3355980010.9864006
2022-05-12 10:30:00+00:00,1.04408,1.04412,1.04286,1.04364,4294940010.0707
2022-05-12 10:45:00+00:00,1.04365,1.04401,1.04342,1.04368,2989669982.9102
2022-05-12 11:00:00+00:00,1.0437,1.0444,1.04328,1.04349,3363100021.3622
2022-05-12 11:15:00+00:00,1.04351,1.0436,1.04196,1.04226,4076859977.7221
2022-05-12 11:30:00+00:00,1.04225,1.0423,1.04012,1.04056,6122489929.199201
2022-05-12 11:45:00+00:00,1.04055,1.04096,1.03889,1.03997,6549850021.3624
2022-05-12 12:00:00+00:00,1.03996,1.04093,1.03952,1.04081,3966780029.2968006
2022-05-12 12:15:00+00:00,1.04084,1.04239,1.04046,1.04195,3509209999.0845003
2022-05-12 12:30:00+00:00,1.04195,1.04383,1.04188,1.04342,7341899963.378999
2022-05-12 12:45:00+00:00,1.04342,1.04354,1.04109,1.04155,4704239974.9757
2022-05-12 13:00:00+00:00,1.04155,1.0426,1.04144,1.04227,4450669967.651501
2022-05-12 13:15:00+00:00,1.0422,1.04255,1.04145,1.04165,3657429977.4169
2022-05-12 13:30:00+00:00,1.04166,1.04167,1.0401,1.04055,5170909973.144599
2022-05-12 13:45:00+00:00,1.04053,1.0413,1.03969,1.03992,5705350006.1035
2022-05-12 14:00:00+00:00,1.03992,1.04117,1.03838,1.04108,5220770019.531199
2022-05-12 14:15:00+00:00,1.04108,1.0416,1.04017,1.04022,4923420028.686501
2022-05-12 14:30:00+00:00,1.0402,1.04095,1.03972,1.04017,4759539970.397901
2022-05-12 14:45:00+00:00,1.04018,1.04172,1.03998,1.04123,6004900054.9316
2022-05-12 15:00:00+00:00,1.04124,1.04251,1.04084,1.04148,3988249984.7412
2022-05-12 15:15:00+00:00,1.04149,1.04191,1.04096,1.04103,4131880035.4004
2022-05-12 15:30:00+00:00,1.04101,1.04113,1.03975,1.0399,3243489997.8638
2022-05-12 15:45:00+00:00,1.03989,1.03989,1.03718,1.03752,3543389984.1308994
2022-05-12 16:00:00+00:00,1.03754,1.03838,1.03668,1.03805,6509269989.0136
2022-05-12 16:15:00+00:00,1.03804,1.03891,1.03756,1.03888,5009109985.351699
2022-05-12 16:30:00+00:00,1.03887,1.0391,1.03787,1.03805,5327460037.2313
2022-05-12 16:45:00+00:00,1.03805,1.03809,1.03548,1.03581,5148619979.8586
2022-05-12 17:00:00+00:00,1.03582,1.03748,1.03542,1.03718,6915739959.716699
2022-05-12 17:15:00+00:00,1.03718,1.03744,1.03676,1.03684,3796429962.158301
2022-05-12 17:30:00+00:00,1.03686,1.03694,1.03616,1.03636,3236339988.7085004
2022-05-12 17:45:00+00:00,1.03635,1.037,1.03606,1.03688,2104369995.1173005
2022-05-12 18:00:00+00:00,1.03685,1.03751,1.03657,1.037,2718380012.5122
2022-05-12 18:15:00+00:00,1.03698,1.03751,1.03657,1.03721,3177449989.3187
2022-05-12 18:30:00+00:00,1.0372,1.0373,1.03654,1.0366,2117079994.2015
2022-05-12 18:45:00+00:00,1.0366,1.0372,1.03659,1.03705,3917619964.599799
2022-05-12 19:00:00+00:00,1.03705,1.03766,1.03678,1.03714,2445819984.4358
2022-05-12 19:15:00+00:00,1.03717,1.0377,1.03701,1.03716,2296789993.2862
2022-05-12 19:30:00+00:00,1.03714,1.03773,1.0371,1.03724,2471649986.2671995
2022-05-12 19:45:00+00:00,1.03725,1.03772,1.03714,1.03734,2998489997.8641
2022-05-12 20:00:00+00:00,1.03732,1.03759,1.03727,1.03748,675079988.7178
2022-05-12 20:15:00+00:00,1.03748,1.03798,1.03748,1.03796,315720001.8169
2022-05-12 20:30:00+00:00,1.03795,1.03799,1.03765,1.0379,233640000.7009
2022-05-12 20:45:00+00:00,1.03791,1.03835,1.0379,1.03824,485199997.90200007
2022-05-12 21:00:00+00:00,1.03827,1.03842,1.03803,1.03809,79689999.2823
2022-05-12 21:15:00+00:00,1.03803,1.03835,1.03785,1.0383,246450003.6835
2022-05-12 21:30:00+00:00,1.0383,1.03839,1.03819,1.03829,1007490013.3608998
2022-05-12 21:45:00+00:00,1.03828,1.03836,1.03809,1.03815,167519999.8618
2022-05-12 22:00:00+00:00,1.03815,1.03843,1.03812,1.03823,650820001.6021999
2022-05-12 22:15:00+00:00,1.03822,1.03828,1.03801,1.03828,328119999.1703
2022-05-12 22:30:00+00:00,1.03827,1.03829,1.03792,1.03797,374380003.9291
2022-05-12 22:45:00+00:00,1.03798,1.038,1.0378,1.03786,149250000.23839998
2022-05-12 23:00:00+00:00,1.03787,1.0382,1.03787,1.03813,338740000.0096
2022-05-12 23:15:00+00:00,1.03813,1.03814,1.03778,1.0378,222930001.2589
2022-05-12 23:30:00+00:00,1.03782,1.03814,1.03781,1.03794,368859997.7492
2022-05-12 23:45:00+00:00,1.03794,1.03845,1.03784,1.03789,540310011.8634
2022-05-13 00:00:00+00:00,1.03789,1.038,1.03735,1.03795,1061309993.7437998
2022-05-13 00:15:00+00:00,1.03795,1.03809,1.03778,1.038,704909996.0325999
2022-05-13 00:30:00+00:00,1.03802,1.03808,1.03791,1.03796,1329430015.5638
2022-05-13 00:45:00+00:00,1.03795,1.03842,1.03773,1.0381,1765420001.9835997
2022-05-13 01:00:00+00:00,1.03809,1.0386,1.03775,1.0385,1169629993.4385998
2022-05-13 01:15:00+00:00,1.0385,1.03897,1.03799,1.03815,1710669994.3541002
2022-05-13 01:30:00+00:00,1.03816,1.03833,1.03748,1.03771,1559389999.3897998
2022-05-13 01:45:00+00:00,1.03771,1.03813,1.03746,1.03782,807370000.8392998
2022-05-13 02:00:00+00:00,1.03782,1.03835,1.03774,1.03828,1549159999.8474002
2022-05-13 02:15:00+00:00,1.0383,1.03882,1.03815,1.03868,1701860008.2397
2022-05-13 02:30:00+00:00,1.03869,1.03896,1.03853,1.03892,828879989.6240999
2022-05-13 02:45:00+00:00,1.03892,1.0392,1.03879,1.039,1130659999.8472
2022-05-13 03:00:00+00:00,1.039,1.0392,1.03881,1.03917,916449995.0409002
2022-05-13 03:15:00+00:00,1.03917,1.03982,1.03917,1.0396,755999988.5558
2022-05-13 03:30:00+00:00,1.03961,1.03981,1.03934,1.03965,866489982.6048
2022-05-13 03:45:00+00:00,1.03962,1.03962,1.03912,1.03916,995429998.3976998
2022-05-13 04:00:00+00:00,1.03915,1.03949,1.03895,1.03934,1031419999.1225998
2022-05-13 04:15:00+00:00,1.03931,1.03943,1.03893,1.03941,737049997.3297
2022-05-13 04:30:00+00:00,1.0394,1.03945,1.03908,1.03929,465900003.4333001
2022-05-13 04:45:00+00:00,1.03927,1.03976,1.03913,1.03973,857450002.6701999
2022-05-13 05:00:00+00:00,1.03973,1.03988,1.03952,1.03969,571039997.1007
